job_id,arrival_time,num_iteration,iteration_computing_time,iteration_networking_time,gpu_workers,ps,gpu_per_worker,cpu_per_gpu_worker,cpu_per_ps_worker,tensorsizes,profiled_network,model_info
0,0,178,0.641315334,10.60662118,2,0,1,5,5,0,5908,gpt2l
1,2811.9,4811,0.467003491,0.439584193,8,0,1,5,5,6.7,554,alexnet
2,6262.62,1519,0.694397841,9.570627898,2,0,1,5,5,1560,1314,bert
3,12213.09,95512,0.640888648,0.295493894,2,0,1,5,5,6.6,104,resnet110
4,12394.37,669,0.260795021,5.055345203,2,0,1,5,5,0,749,gpt2xl
5,33588.2,202,2.196080877,38.39210635,8,0,1,5,5,0,11908,gpt2xl
6,36169.3,5120,1.641700646,0.990751848,2,0,1,5,5,527.8,3002,vgg16
7,37502.57,11382,1.63044699,1.426828216,4,0,1,5,5,527.8,6031,vgg16
8,46244.07,13086,0.38079983,0.186796395,2,0,1,5,5,6.7,66,alexnet
9,51844.05,201069,0.958653032,0.633838952,2,0,1,5,5,8.5,148,densenet100_k12
10,64283.02,878,0.922037229,14.56845956,8,0,1,5,5,1560,4474,bert
11,65915.99,4664,0.641315334,10.60662118,2,0,1,5,5,0,5908,gpt2l
12,69187.92,127382,1.641700646,0.990751848,2,0,1,5,5,527.8,3002,vgg16
13,72641.38,354,2.196080877,38.39210635,8,0,1,5,5,0,11908,gpt2xl
14,88616.31,79405,1.63044699,1.426828216,4,0,1,5,5,527.8,6031,vgg16
15,88934.84,371,0.82754108,13.38877408,4,0,1,5,5,1560,2542,bert
16,90418.37,116,1.045684667,16.15859988,4,0,1,5,5,0,5916,gpt2l
17,91279.77,13074,0.38079983,0.186796395,2,0,1,5,5,6.7,66,alexnet
18,92550.95,1962,0.641951044,0.37256817,4,0,1,5,5,97.5,4200,resnet50
19,95251.42,4996,0.361918766,4.069254675,2,0,1,5,5,0,2315,bertl
20,97147.52,1082,0.82754108,13.38877408,4,0,1,5,5,1560,2542,bert
21,99188.8,168713,0.958653032,0.633838952,2,0,1,5,5,8.5,148,densenet100_k12
22,106748.9,45312,0.538279115,8.836751578,2,0,1,5,5,4000,1856,gpt2
23,117562.88,178,0.742096684,14.0563657,4,0,1,5,5,4000,2835,gpt2
24,117859.79,4313,0.361918766,4.069254675,2,0,1,5,5,0,2315,bertl
25,118812.71,4489,1.71190132,1.545678366,8,0,1,5,5,527.8,13001,vgg16
26,123334.84,10774,0.823413421,0.400124054,4,0,1,5,5,6.6,251,resnet110
27,125140.93,59958,0.029938503,0.877610711,8,0,1,5,5,8.5,476,densenet100_k12
28,126333.33,17110,0.925547155,17.5512805,8,0,1,5,5,4000,4848,gpt2
29,127756.36,3444,0.773121316,0.56041441,8,0,1,5,5,97.5,7267,resnet50
30,129339.82,1425,0.922037229,14.56845956,8,0,1,5,5,1560,4474,bert
31,137017.93,5432,0.958653032,0.633838952,2,0,1,5,5,8.5,148,densenet100_k12
32,137615.26,6166,0.469122772,6.318884973,4,0,1,5,5,0,2816,bertl
33,142633.42,8335,0.958653032,0.633838952,2,0,1,5,5,8.5,148,densenet100_k12
34,145905.85,2509,0.823413421,0.400124054,4,0,1,5,5,6.6,251,resnet110
35,147335.93,827,0.742096684,14.0563657,4,0,1,5,5,4000,2835,gpt2
36,149549.35,18709,1.641700646,0.990751848,2,0,1,5,5,527.8,3002,vgg16
37,150752.91,1470,0.82754108,13.38877408,4,0,1,5,5,1560,2542,bert
38,154597.46,131393,1.010761784,0.912022539,8,0,1,5,5,6.6,405,resnet110
39,154943.55,1420,1.010761784,0.912022539,8,0,1,5,5,6.6,405,resnet110
40,154964.69,99,2.196080877,38.39210635,8,0,1,5,5,0,11908,gpt2xl
41,158984.42,48085,0.57194761,0.261841686,2,0,1,5,5,97.5,1415,resnet50
42,159862.76,2850,0.641951044,0.37256817,4,0,1,5,5,97.5,4200,resnet50
43,160161.96,42867,0.641951044,0.37256817,4,0,1,5,5,97.5,4200,resnet50
44,162217.32,19579,0.029938503,0.877610711,8,0,1,5,5,8.5,476,densenet100_k12
45,162429.18,761,0.564736104,7.851005075,8,0,1,5,5,0,5700,bertl
46,171281.17,1095,1.63044699,1.426828216,4,0,1,5,5,527.8,6031,vgg16
47,171395.05,500,1.127424102,19.11718267,8,0,1,5,5,0,8099,gpt2l
48,174911.48,1782,0.025872141,2.672705566,4,0,1,5,5,0,11903,gpt2xl
49,177258.05,2773,0.823413421,0.400124054,4,0,1,5,5,6.6,251,resnet110
50,181791.11,1549,0.564736104,7.851005075,8,0,1,5,5,0,5700,bertl
51,183408.32,166,0.82754108,13.38877408,4,0,1,5,5,1560,2542,bert
52,184093.34,2314,1.010761784,0.912022539,8,0,1,5,5,6.6,405,resnet110
53,200392.92,11550,1.010761784,0.912022539,8,0,1,5,5,6.6,405,resnet110
54,207817.5,3222,0.925547155,17.5512805,8,0,1,5,5,4000,4848,gpt2
55,215823.81,60981,0.029938503,0.877610711,8,0,1,5,5,8.5,476,densenet100_k12
56,216994.94,1112,1.105276927,0.8053373,4,0,1,5,5,8.5,305,densenet100_k12
57,217156,838,1.127424102,19.11718267,8,0,1,5,5,0,8099,gpt2l
58,218625.31,292,2.196080877,38.39210635,8,0,1,5,5,0,11908,gpt2xl
59,221757.1,315,2.196080877,38.39210635,8,0,1,5,5,0,11908,gpt2xl
60,223365.24,169,0.742096684,14.0563657,4,0,1,5,5,4000,2835,gpt2
61,230519.66,4825,0.029938503,0.877610711,8,0,1,5,5,8.5,476,densenet100_k12
62,231807.93,244604,0.390462601,0.333952628,4,0,1,5,5,6.7,319,alexnet
63,245468.76,122844,0.823413421,0.400124054,4,0,1,5,5,6.6,251,resnet110
64,247953.73,24346,0.922037229,14.56845956,8,0,1,5,5,1560,4474,bert
65,255457.06,12106,0.467003491,0.439584193,8,0,1,5,5,6.7,554,alexnet
66,256335.94,11292,1.71190132,1.545678366,8,0,1,5,5,527.8,13001,vgg16
67,258490.72,274,0.742096684,14.0563657,4,0,1,5,5,4000,2835,gpt2
68,263379.67,2006,0.922037229,14.56845956,8,0,1,5,5,1560,4474,bert
69,263985.17,130,1.127424102,19.11718267,8,0,1,5,5,0,8099,gpt2l
70,264564.28,165314,0.467003491,0.439584193,8,0,1,5,5,6.7,554,alexnet
71,278760.25,2314,0.742096684,14.0563657,4,0,1,5,5,4000,2835,gpt2
72,283858.6,23697,0.641951044,0.37256817,4,0,1,5,5,97.5,4200,resnet50
73,284029.12,608,1.127424102,19.11718267,8,0,1,5,5,0,8099,gpt2l
74,286098.24,4118,0.641951044,0.37256817,4,0,1,5,5,97.5,4200,resnet50
75,288409.1,55608,0.641951044,0.37256817,4,0,1,5,5,97.5,4200,resnet50
76,293950.25,230,1.127424102,19.11718267,8,0,1,5,5,0,8099,gpt2l
77,295124.69,205321,0.025872141,2.672705566,4,0,1,5,5,0,11903,gpt2xl
78,295953.17,44079,0.029938503,0.877610711,8,0,1,5,5,8.5,476,densenet100_k12
79,296296.07,349,0.82754108,13.38877408,4,0,1,5,5,1560,2542,bert
80,298569.74,870,2.196080877,38.39210635,8,0,1,5,5,0,11908,gpt2xl
81,303312.34,49810,1.63044699,1.426828216,4,0,1,5,5,527.8,6031,vgg16
82,303556.13,469536,0.467003491,0.439584193,8,0,1,5,5,6.7,554,alexnet
83,313589.9,24732,0.742096684,14.0563657,4,0,1,5,5,4000,2835,gpt2
84,315964.65,19461,0.390462601,0.333952628,4,0,1,5,5,6.7,319,alexnet
85,317079.42,18080,0.025872141,2.672705566,4,0,1,5,5,0,11903,gpt2xl
86,317480.25,127250,0.467003491,0.439584193,8,0,1,5,5,6.7,554,alexnet
