job_id,model,arrival_time,duration,num_iteration,iteration_computing_time,iteration_networking_time,gpu_workers,ps,gpu_per_worker,cpu_per_gpu_worker,cpu_per_ps_worker,tensorsizes,skewness,profiled_network
0,densenet100_k12,0,308,82,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
1,densenet100_k12,0,101,1,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
2,densenet100_k12,0,14382,8729,0.07761,0.23265,2,2,1,5,5,8.5,1.9,127
3,densenet100_k12,0,12429,14685,0.235003501,0,1,0,1,5,5,8.5,1.9,0
4,densenet100_k12,0,106,1,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
5,densenet100_k12,0,89,77,0.235003501,0,1,0,1,5,5,8.5,1.9,0
6,densenet100_k12,0,1026,187,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
7,densenet100_k12,0,149,1,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
8,densenet100_k12,0,803,459,0.07761,0.23265,2,2,1,5,5,8.5,1.9,127
9,densenet100_k12,0,76,1,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
10,inception3,0,157,18,0.06683,0.2403,2,2,1,5,5,90.9,4.2,1298
11,densenet100_k12,0,108,36,0.07761,0.23265,2,2,1,5,5,8.5,1.9,127
12,densenet100_k12,0,183,81,0.07761,0.23265,2,2,1,5,5,8.5,1.9,127
13,densenet100_k12,0,122,1,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
14,inception3,0,1267,117,0.06591,0.23425,4,4,1,5,5,90.9,4.2,2733
15,densenet100_k12,0,159,67,0.07761,0.23265,2,2,1,5,5,8.5,1.9,127
16,densenet100_k12,0,6154,2477,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
17,densenet100_k12,0,124,7,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
18,densenet100_k12,0,2436,2855,0.235003501,0,1,0,1,5,5,8.5,1.9,0
19,densenet100_k12,0,1297,487,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
20,densenet100_k12,0,282,142,0.07761,0.23265,2,2,1,5,5,8.5,1.9,127
21,densenet40_k12,0,99,24,0.10286,0.27261,4,4,1,5,5,1.3,1.9,35
22,inception3,0,24280,8128,0.06808,0.28346,8,8,1,5,5,90.9,4.2,4504
23,densenet100_k12,0,276,8,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
