Job ID,Data Set,Model,Sync/Async,Batch Size,Sum of Max TX+RX (B/s),Sum of Max TX+RX (MB/s),Number of Workers,Number of PSs,tensorsize,calculated communicated volume
0,cifar10,alexnet,sync,8192,252815181,241.1033449,2,2,6.7,10.05
1,cifar10,alexnet,sync,16384,503355448,480.0371628,4,4,6.7,8.375
2,cifar10,alexnet,sync,32768,1011975164,965.0947227,8,8,6.7,7.5375
3,cifar10,densenet100_k12,sync,256,133857086,127.656065,2,2,6.6,9.9
4,cifar10,densenet100_k12,sync,512,272726678,260.0924282,4,4,6.6,8.25
5,cifar10,densenet100_k12,sync,1024,526849050,502.4424076,8,8,6.6,7.425
6,cifar10,densenet40_k12,sync,2048,18448078,17.59345818,2,2,2.5,3.75
7,cifar10,densenet40_k12,sync,4096,37014047,35.29934597,4,4,2.5,3.125
8,cifar10,densenet40_k12,sync,8192,74285036,70.84373093,8,8,2.5,2.8125
9,cifar10,resnet110,sync,2048,85897665,81.91839695,2,2,3.3,4.95
10,cifar10,resnet110,sync,4096,172041963,164.0720015,4,4,3.3,4.125
11,cifar10,resnet110,sync,8192,343037299,327.1458616,8,8,3.3,3.7125
12,cifar10,resnet44,sync,2048,76191939,72.66229534,2,2,1.3,1.95
13,cifar10,resnet44,sync,4096,152893069,145.8101931,4,4,1.3,1.625
14,cifar10,resnet44,sync,8192,305558768,291.4035492,8,8,1.3,1.4625
15,imagenet,googlenet,sync,512,507354752,483.8511963,2,2,8.5,12.75
16,imagenet,googlenet,sync,1024,1014508380,967.5105858,4,4,8.5,10.625
17,imagenet,googlenet,sync,2048,2005909562,1912.98443,8,8,8.5,9.5625
18,imagenet,inception3,sync,128,1361351261,1298.285733,2,2,527.8,791.7
19,imagenet,inception3,sync,256,2866341702,2733.556463,4,4,527.8,659.75
20,imagenet,inception3,sync,512,4723505199,4504.685592,8,8,527.8,593.775
